id,match_api_id,match_date,away_player_10_name,away_player_10_rating,away_player_10_potential
21520,530085,2008-08-31 00:00:00,Arjen Robben,84,86
21534,530239,2008-11-08 00:00:00,Nabil Baha,67,72
21545,530250,2008-11-15 00:00:00,Gonzalo Higuain,77,87
21555,530260,2008-11-22 00:00:00,Javier Camunas,74,75
21566,530331,2008-11-29 00:00:00,Javier Saviola,78,83
21576,530341,2008-12-07 00:00:00,Adriano,78,86
21578,530343,2008-12-13 00:00:00,Gonzalo Higuain,77,87
21594,530359,2008-12-20 00:00:00,Juan Mata,75,86
21604,530369,2009-01-04 00:00:00,Giuseppe Rossi,80,86
21615,530380,2009-01-11 00:00:00,Raul,82,89
21626,530451,2009-01-18 00:00:00,Masoud Shojaei,68,70
21629,530094,2008-09-14 00:00:00,Carlos Lorens Bellvis,72,74
21639,530454,2009-01-25 00:00:00,Joan Verdu,71,85
21649,530464,2009-01-31 00:00:00,Raul,82,89
21660,530475,2009-02-07 00:00:00,Nikola Zigic,76,81
21670,530485,2009-02-15 00:00:00,Klaas Jan Huntelaar,84,90
21684,530499,2009-02-21 00:00:00,Achille Emana,79,78
21692,530548,2009-02-28 00:00:00,Klaas Jan Huntelaar,84,90
21702,530558,2009-03-07 00:00:00,Diego Forlan,83,85
21716,530572,2009-03-14 00:00:00,Raul,82,89
21727,530583,2009-03-22 00:00:00,Pablo Piatti,70,79
21734,530590,2009-04-04 00:00:00,Klaas Jan Huntelaar,84,90
21744,530109,2008-09-21 00:00:00,Ruud van Nistelrooy,86,90
21755,530601,2009-04-12 00:00:00,Damian Escudero,72,79
21765,530611,2009-04-18 00:00:00,Klaas Jan Huntelaar,84,90
21775,530621,2009-04-21 00:00:00,Manu del Moral,75,82
21781,530627,2009-04-26 00:00:00,Marcelo,75,83
21794,530640,2009-05-02 00:00:00,Thierry Henry,84,91
21807,530653,2009-05-09 00:00:00,Gonzalo Higuain,82,87
21816,530662,2009-05-16 00:00:00,Raul,82,89
21825,530671,2009-05-24 00:00:00,Juan Arango,78,80
21835,530682,2009-05-31 00:00:00,Raul,82,89
21841,530116,2008-09-24 00:00:00,Francisco Maldonado,65,70
21852,530127,2008-09-27 00:00:00,Raul,82,89
21859,530134,2008-10-05 00:00:00,Nene,77,80
21870,530205,2008-10-18 00:00:00,Ruud van Nistelrooy,86,90
21883,530218,2008-10-26 00:00:00,Igor Gabilondo,72,75
21895,530230,2008-11-02 00:00:00,Arjen Robben,84,86
