id,match_api_id,match_date,away_player_2_name,away_player_2_rating,away_player_2_potential
21520,530085,2008-08-31 00:00:00,Sergio Ramos,85,92
21534,530239,2008-11-08 00:00:00,Jesus Gamez,68,75
21545,530250,2008-11-15 00:00:00,Sergio Ramos,85,92
21555,530260,2008-11-22 00:00:00,Iago Bouzon,74,84
21566,530331,2008-11-29 00:00:00,Miguel Torres,74,83
21576,530341,2008-12-07 00:00:00,Abdoulay Konko,76,78
21578,530343,2008-12-13 00:00:00,Michel Salgado,71,81
21594,530359,2008-12-20 00:00:00,Miguel,79,83
21604,530369,2009-01-04 00:00:00,Angel Lopez,74,78
21615,530380,2009-01-11 00:00:00,Sergio Ramos,85,92
21626,530451,2009-01-18 00:00:00,Cesar Azpilicueta,63,67
21629,530094,2008-09-14 00:00:00,Juan Ramon Cabrero Juanra,69,72
21639,530454,2009-01-25 00:00:00,Manuel Pablo,75,81
21649,530464,2009-01-31 00:00:00,Sergio Ramos,85,92
21660,530475,2009-02-07 00:00:00,Juan Valera,71,82
21670,530485,2009-02-15 00:00:00,Sergio Ramos,85,92
21684,530499,2009-02-21 00:00:00,Nelson,71,80
21692,530548,2009-02-28 00:00:00,Sergio Ramos,84,92
21702,530558,2009-03-07 00:00:00,Johnny Heitinga,78,83
21716,530572,2009-03-14 00:00:00,Sergio Ramos,84,92
21727,530583,2009-03-22 00:00:00,Bruno Saltor,68,71
21734,530590,2009-04-04 00:00:00,Sergio Ramos,84,92
21744,530109,2008-09-21 00:00:00,Sergio Ramos,85,92
21755,530601,2009-04-12 00:00:00,Pedro Lopez,73,77
21765,530611,2009-04-18 00:00:00,Sergio Ramos,84,92
21775,530621,2009-04-21 00:00:00,David Cortes,74,76
21781,530627,2009-04-26 00:00:00,Sergio Ramos,84,92
21794,530640,2009-05-02 00:00:00,Daniel Alves,86,91
21807,530653,2009-05-09 00:00:00,Sergio Ramos,84,92
21816,530662,2009-05-16 00:00:00,Sergio Ramos,84,92
21825,530671,2009-05-24 00:00:00,Jose Miguel Josemi,76,77
21835,530682,2009-05-31 00:00:00,Michel Salgado,71,81
