id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,home_team_name,away_team_api_id,away_team_name,home_team_goal,away_team_goal,avg_home_prob,avg_draw_prob,avg_away_prob,away_player_1_name,away_player_1_rating,away_player_1_potential,away_player_2_name,away_player_2_rating,away_player_2_potential,away_player_3_name,away_player_3_rating,away_player_3_potential,away_player_4_name,away_player_4_rating,away_player_4_potential,away_player_5_name,away_player_5_rating,away_player_5_potential,away_player_6_name,away_player_6_rating,away_player_6_potential,away_player_7_name,away_player_7_rating,away_player_7_potential,away_player_8_name,away_player_8_rating,away_player_8_potential,away_player_9_name,away_player_9_rating,away_player_9_potential,away_player_10_name,away_player_10_rating,away_player_10_potential,away_player_11_name,away_player_11_rating,away_player_11_potential,home_player_1_name,home_player_1_rating,home_player_1_potential,home_player_2_name,home_player_2_rating,home_player_2_potential,home_player_3_name,home_player_3_rating,home_player_3_potential,home_player_4_name,home_player_4_rating,home_player_4_potential,home_player_5_name,home_player_5_rating,home_player_5_potential,home_player_6_name,home_player_6_rating,home_player_6_potential,home_player_7_name,home_player_7_rating,home_player_7_potential,home_player_8_name,home_player_8_rating,home_player_8_potential,home_player_9_name,home_player_9_rating,home_player_9_potential,home_player_10_name,home_player_10_rating,home_player_10_potential,home_player_11_name,home_player_11_rating,home_player_11_potential
23140,21518,21518,2012/2013,19,2013-01-12 00:00:00,1260331,8371,CA Osasuna,8633,Real Madrid CF,0,0,0.14340417336445,0.2189642149520216,0.6376316116835282,Iker Casillas,89.0,90.0,Alvaro Arbeloa,80.0,80.0,Raphael Varane,76.0,84.0,Raul Albiol,81,86,Fabio Coentrao,81.0,86.0,Sami Khedira,83.0,85.0,Xabi Alonso,87.0,87.0,Angel Di Maria,86.0,88.0,Luka Modric,86.0,89.0,Jose Maria Callejon,79,81,Gonzalo Higuain,85.0,87.0,Andres Fernandez,77.0,79.0,Marc Bertran,74.0,74.0,Ruben,69,74,Alejandro Arribas,75.0,78.0,Abella Perez Damia,74,74,Lolo,73.0,75.0,Oier,71.0,71.0,Alvaro Cejudo,74,74,Nino,74.0,74.0,Emiliano Daniel Armenteros,73,76,Kike Sola,72,76
23156,21518,21518,2012/2013,2,2012-08-26 00:00:00,1259985,8305,Getafe CF,8633,Real Madrid CF,2,1,0.096495617404866,0.1779601417867993,0.7255442408083346,Iker Casillas,89.0,92.0,Alvaro Arbeloa,80.0,80.0,Raul Albiol,81.0,86.0,Sergio Ramos,87,89,Marcelo,82.0,85.0,Lassana Diarra,81.0,83.0,Xabi Alonso,86.0,86.0,Angel Di Maria,85.0,88.0,Mesut Oezil,86.0,89.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85.0,87.0,Miguel Angel Moya,75.0,76.0,Juan Valera,72.0,74.0,David Abraham,71,79,Alexis,76.0,80.0,Miguel Torres,73,74,Michel,73.0,79.0,Xavier Torres,75.0,78.0,Abdelaziz Barrada,76,79,Angel Lafita,75.0,79.0,Diego Castro,75,75,Miku,74,76
23165,21518,21518,2012/2013,20,2013-01-20 00:00:00,1259981,10267,Valencia CF,8633,Real Madrid CF,0,5,0.214050012726121,0.2518509900857669,0.5340989971881119,Iker Casillas,89.0,90.0,Alvaro Arbeloa,80.0,80.0,Raphael Varane,76.0,84.0,Raul Albiol,81,86,Fabio Coentrao,81.0,86.0,Sami Khedira,83.0,85.0,Xabi Alonso,87.0,87.0,Angel Di Maria,86.0,88.0,Mesut Oezil,87.0,88.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85.0,87.0,Diego Alves,82.0,84.0,Ricardo Costa,77.0,77.0,Adil Rami,84,85,Victor Ruiz,78.0,83.0,Andres Guardado,82,85,Fernando Gago,79.0,80.0,Tino Costa,82.0,83.0,Pablo Piatti,74,86,Ever Banega,80.0,84.0,Jonas,81,81,Roberto Soldado,84,87
23176,21518,21518,2012/2013,21,2013-01-27 00:00:00,1260005,8633,Real Madrid CF,8305,Getafe CF,4,0,0.8117860862313663,0.1255308252079753,0.0626830885606583,Miguel Angel Moya,75.0,78.0,Juan Valera,75.0,75.0,Alberto Lopo,77.0,77.0,Alexis,76,79,Miguel Torres,73.0,75.0,Xavier Torres,75.0,77.0,Borja Fernandez,68.0,68.0,Pablo Sarabia,72.0,83.0,Diego Castro,74.0,74.0,Jaime Gavilan,75,76,Adrian Colunga,71.0,75.0,Antonio Adan,73.0,77.0,Sergio Ramos,87.0,89.0,Raul Albiol,81,86,Ricardo Carvalho,80.0,80.0,Fabio Coentrao,81,86,Michael Essien,82.0,85.0,Luka Modric,86.0,89.0,Angel Di Maria,86,88,Mesut Oezil,87.0,88.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85,87
23186,21518,21518,2012/2013,22,2013-02-02 00:00:00,1260026,7878,Granada CF,8633,Real Madrid CF,1,0,0.1070471796647417,0.184283284988057,0.7086695353472012,Diego Lopez,82.0,86.0,Alvaro Arbeloa,80.0,80.0,Raphael Varane,76.0,84.0,Sergio Ramos,87,89,Fabio Coentrao,81.0,86.0,Sami Khedira,83.0,85.0,Xabi Alonso,87.0,87.0,Angel Di Maria,86.0,88.0,Luka Modric,86.0,89.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85.0,87.0,Tono,76.0,76.0,Allan Nyom,73.0,76.0,Inigo Lopez,73,73,Diego Mainz,71.0,71.0,Guilherme Siqueira,75,76,Jose Recio,68.0,75.0,Mikel Rico,74.0,74.0,Gabriel Torje,71,81,Carlos Reina Aranda,71.0,71.0,Nolito,79,81,Odion Ighalo,71,74
23197,21518,21518,2012/2013,23,2013-02-09 00:00:00,1260048,8633,Real Madrid CF,8302,Sevilla FC,4,1,0.696260629846688,0.1860963937074296,0.1176429764458824,Beto,77.0,78.0,Coke,73.0,81.0,Federico Fazio,77.0,81.0,Emir Spahic,76,76,Fernando Navarro,76.0,76.0,Hedwiges Maduro,76.0,79.0,Gary Medel,78.0,82.0,Geoffrey Kondogbia,71.0,79.0,Jesus Navas,85.0,86.0,Alvaro Negredo,82,85,Jose Antonio Reyes,81.0,83.0,Diego Lopez,82.0,86.0,Alvaro Arbeloa,80.0,80.0,Raul Albiol,81,86,Sergio Ramos,87.0,89.0,Fabio Coentrao,81,86,Michael Essien,82.0,85.0,Luka Modric,86.0,89.0,Karim Benzema,87,87,Kaka,84.0,84.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85,87
23207,21518,21518,2012/2013,24,2013-02-17 00:00:00,1260067,8633,Real Madrid CF,8370,Rayo Vallecano,2,0,0.797957746550727,0.1316474395864622,0.0703948138628107,Ruben,71.0,74.0,Tito,72.0,73.0,Alejandro Galvez,69.0,72.0,Jordi Figueras,72,73,Jose Manuel Casado,73.0,76.0,Roberto Trashorras,74.0,74.0,Javi Fuego,78.0,78.0,Alhassane Bangoura,75.0,80.0,Alejandro Dominguez,76.0,76.0,Piti,74,74,Leo Baptistao,75.0,80.0,Diego Lopez,80.0,84.0,Sergio Ramos,86.0,89.0,Raphael Varane,80,85,Pepe,84.0,86.0,Fabio Coentrao,80,86,Sami Khedira,83.0,85.0,Michael Essien,81.0,81.0,Mesut Oezil,87,88,Kaka,83.0,83.0,Cristiano Ronaldo,92,94,Alvaro Morata,70,81
23217,21518,21518,2012/2013,25,2013-02-23 00:00:00,1260088,9783,RC Deportivo de La Coruña,8633,Real Madrid CF,1,2,0.1151070687763406,0.1890364129505211,0.6958565182731383,Diego Lopez,80.0,84.0,Alvaro Arbeloa,79.0,79.0,Pepe,84.0,86.0,Ricardo Carvalho,78,78,Marcelo,82.0,85.0,Michael Essien,81.0,81.0,Luka Modric,84.0,89.0,Angel Di Maria,86.0,88.0,Kaka,83.0,83.0,Jose Maria Callejon,79,81,Gonzalo Higuain,84.0,87.0,Daniel Aranzubia,76.0,79.0,Silvio,74.0,81.0,Kaka,70,70,Carlos Marchena,73.0,73.0,Ayoze Diaz Diaz,70,70,Abel Aguilar,76.0,76.0,Paulo Assuncao,72.0,72.0,Bruno Vilela Gama,75,76,Juan Carlos Valeron,76.0,76.0,Pizzi,74,82,Ivan Sanchez Riki,74,74
23226,21518,21518,2012/2013,26,2013-03-02 00:00:00,1260112,8633,Real Madrid CF,8634,FC Barcelona,2,1,0.3332943742323011,0.2682844397061227,0.3984211860615761,Victor Valdes,85.0,87.0,Daniel Alves,84.0,84.0,Gerard Pique,86.0,89.0,Javier Mascherano,86,87,Jordi Alba,81.0,84.0,Thiago Alcantara,79.0,86.0,Sergio Busquets,85.0,89.0,Andres Iniesta,90.0,93.0,Pedro Rodriguez,85.0,88.0,Lionel Messi,94,97,David Villa,83.0,83.0,Diego Lopez,80.0,84.0,Michael Essien,81.0,81.0,Raphael Varane,81,85,Sergio Ramos,86.0,89.0,Fabio Coentrao,80,86,Pepe,84.0,86.0,Luka Modric,84.0,89.0,Jose Maria Callejon,79,81,Kaka,83.0,83.0,Alvaro Morata,70,81,Karim Benzema,86,87
23236,21518,21518,2012/2013,27,2013-03-10 00:00:00,1260144,9910,RC Celta de Vigo,8633,Real Madrid CF,1,2,0.12945376831451,0.2093523144630427,0.6611939172224472,Diego Lopez,82.0,84.0,Michael Essien,81.0,81.0,Pepe,84.0,86.0,Raul Albiol,80,84,Marcelo,82.0,85.0,Sami Khedira,84.0,86.0,Luka Modric,85.0,89.0,Jose Maria Callejon,79.0,81.0,Mesut Oezil,87.0,88.0,Cristiano Ronaldo,92,95,Karim Benzema,86.0,87.0,Javi Varas,76.0,78.0,Johny,64.0,78.0,Vadim Demidov,72,76,Andres Tunez,72.0,74.0,Roberto Lago,72,75,Borja Oubina,74.0,74.0,Augusto Fernandez,74.0,77.0,Alex Lopez,72,75,Enrique de Lucas,73.0,73.0,Michael Krohn-Dehli,74,74,Iago Aspas,77,81
