id,match_api_id,match_date,away_player_5_name,away_player_5_rating,away_player_5_potential
21520,530085,2008-08-31 00:00:00,Marcelo,75,83
21534,530239,2008-11-08 00:00:00,Javier Calleja,71,73
21545,530250,2008-11-15 00:00:00,Marcelo,75,83
21555,530260,2008-11-22 00:00:00,Jose Manuel Casado,63,73
21566,530331,2008-11-29 00:00:00,Marcelo,75,83
21576,530341,2008-12-07 00:00:00,Fernando Navarro,77,80
21578,530343,2008-12-13 00:00:00,Sergio Ramos,85,92
21594,530359,2008-12-20 00:00:00,Asier del Horno,76,82
21604,530369,2009-01-04 00:00:00,Joan Capdevila,80,83
21615,530380,2009-01-11 00:00:00,Gabriel Heinze,80,83
21626,530451,2009-01-18 00:00:00,Nacho Monreal,68,73
21629,530094,2008-09-14 00:00:00,Domingo Cisma,68,71
21639,530454,2009-01-25 00:00:00,Filipe Luis,78,85
21649,530464,2009-01-31 00:00:00,Gabriel Heinze,80,83
21660,530475,2009-02-07 00:00:00,Ivan Marcano,56,68
21670,530485,2009-02-15 00:00:00,Gabriel Heinze,80,83
21684,530499,2009-02-21 00:00:00,Fernando Vega,67,68
21692,530548,2009-02-28 00:00:00,Gabriel Heinze,79,83
21702,530558,2009-03-07 00:00:00,Antonio Lopez,75,81
21716,530572,2009-03-14 00:00:00,Gabriel Heinze,79,83
21727,530583,2009-03-22 00:00:00,Mane,67,72
21734,530590,2009-04-04 00:00:00,Miguel Torres,75,83
21744,530109,2008-09-21 00:00:00,Gabriel Heinze,80,83
21755,530601,2009-04-12 00:00:00,Alberto Rey,71,76
21765,530611,2009-04-18 00:00:00,Marcelo,75,83
21775,530621,2009-04-21 00:00:00,Rafa Lopez,70,74
21781,530627,2009-04-26 00:00:00,Miguel Torres,75,83
21794,530640,2009-05-02 00:00:00,Eric Abidal,83,89
21807,530653,2009-05-09 00:00:00,Gabriel Heinze,79,83
21816,530662,2009-05-16 00:00:00,Gabriel Heinze,79,83
