id,match_api_id,match_date,away_player_4_name,away_player_4_rating,away_player_4_potential
21520,530085,2008-08-31 00:00:00,Gabriel Heinze,80,83
21534,530239,2008-11-08 00:00:00,Helder Rosario,69,69
21545,530250,2008-11-15 00:00:00,Gabriel Heinze,80,83
21555,530260,2008-11-22 00:00:00,Nasief Morris,75,77
21566,530331,2008-11-29 00:00:00,Pepe,84,86
21576,530341,2008-12-07 00:00:00,Julien Escude,78,81
21578,530343,2008-12-13 00:00:00,Fabio Cannavaro,85,91
21594,530359,2008-12-20 00:00:00,Carlos Marchena,82,85
21604,530369,2009-01-04 00:00:00,Diego Godin,73,79
21615,530380,2009-01-11 00:00:00,Pepe,84,86
21626,530451,2009-01-18 00:00:00,Miguel Flano,71,76
21629,530094,2008-09-14 00:00:00,Sergio Boris,70,72
21639,530454,2009-01-25 00:00:00,Ze Castro,74,80
21649,530464,2009-01-31 00:00:00,Fabio Cannavaro,85,91
21660,530475,2009-02-07 00:00:00,Cesar Navas,67,70
21670,530485,2009-02-15 00:00:00,Pepe,84,86
21684,530499,2009-02-21 00:00:00,Arturo Arzu,68,75
21692,530548,2009-02-28 00:00:00,Fabio Cannavaro,84,91
21702,530558,2009-03-07 00:00:00,Tomas Ujfalusi,81,84
21716,530572,2009-03-14 00:00:00,Pepe,84,88
21727,530583,2009-03-22 00:00:00,Hernan Pellerano,71,78
21734,530590,2009-04-04 00:00:00,Christoph Metzelder,80,88
21744,530109,2008-09-21 00:00:00,Fabio Cannavaro,85,91
21755,530601,2009-04-12 00:00:00,Jauregi Inaki Bea,67,77
21765,530611,2009-04-18 00:00:00,Fabio Cannavaro,84,91
21775,530621,2009-04-21 00:00:00,Mario Alvarez,76,78
21781,530627,2009-04-26 00:00:00,Christoph Metzelder,80,88
21794,530640,2009-05-02 00:00:00,Gerard Pique,78,88
21807,530653,2009-05-09 00:00:00,Christoph Metzelder,80,88
21816,530662,2009-05-16 00:00:00,Miguel Torres,75,83
21825,530671,2009-05-24 00:00:00,Ivan Ramis,74,80
21835,530682,2009-05-31 00:00:00,Miguel Torres,75,83
21841,530116,2008-09-24 00:00:00,Jurgen Colin,63,69
21852,530127,2008-09-27 00:00:00,Gabriel Heinze,80,83
21859,530134,2008-10-05 00:00:00,Nicolas Pareja,72,76
21870,530205,2008-10-18 00:00:00,Fabio Cannavaro,85,91
21883,530218,2008-10-26 00:00:00,Fernando Amorebieta,71,75
21895,530230,2008-11-02 00:00:00,Fabio Cannavaro,85,91
21898,684585,2009-08-29 00:00:00,Alberto Lopo,76,82
21913,684734,2009-11-07 00:00:00,Ezequiel Garay,81,85
21923,684755,2009-11-21 00:00:00,Marc Torrejon Moya,75,80
21934,684766,2009-11-29 00:00:00,Pepe,84,88
21944,684776,2009-12-05 00:00:00,Santiago Acasiete,73,80
21955,684787,2009-12-12 00:00:00,Raul Albiol,83,88
21965,684804,2009-12-19 00:00:00,Roberto Fabian Ayala,77,83
21976,684828,2010-01-03 00:00:00,Raul Albiol,83,88
21986,684844,2010-01-10 00:00:00,Jose Carlos Nunes,76,77
21997,684866,2010-01-16 00:00:00,Ezequiel Garay,81,85
22007,684881,2010-01-24 00:00:00,Weligton,76,77
22009,684596,2009-09-12 00:00:00,Christoph Metzelder,79,88
22018,684885,2010-01-30 00:00:00,Raul Albiol,83,88
22029,684907,2010-02-06 00:00:00,Victor Ruiz,64,74
22039,684924,2010-02-13 00:00:00,Ezequiel Garay,81,85
