id,match_api_id,match_date,away_player_11_name,away_player_11_rating,away_player_11_potential
21520,530085,2008-08-31 00:00:00,Ruud van Nistelrooy,86,90
21534,530239,2008-11-08 00:00:00,Adrian Lopez,69,83
21545,530250,2008-11-15 00:00:00,Raul,82,89
21555,530260,2008-11-22 00:00:00,,,
21566,530331,2008-11-29 00:00:00,Royston Drenthe,75,84
21576,530341,2008-12-07 00:00:00,Frederic Kanoute,83,84
21578,530343,2008-12-13 00:00:00,Raul,82,89
21594,530359,2008-12-20 00:00:00,David Villa,86,93
21604,530369,2009-01-04 00:00:00,Nihat Kahveci,80,83
21615,530380,2009-01-11 00:00:00,Gonzalo Higuain,77,87
21626,530451,2009-01-18 00:00:00,Walter Pandiani,77,85
21629,530094,2008-09-14 00:00:00,Gorka Brit,72,75
21639,530454,2009-01-25 00:00:00,Rodolfo Bodipo Diaz,70,79
21649,530464,2009-01-31 00:00:00,Gonzalo Higuain,77,87
21660,530475,2009-02-07 00:00:00,Mohammed Tchite,76,78
21670,530485,2009-02-15 00:00:00,Raul,82,89
21684,530499,2009-02-21 00:00:00,Ricardo Oliveira,79,79
21692,530548,2009-02-28 00:00:00,Raul,82,89
21702,530558,2009-03-07 00:00:00,Sergio Aguero,83,90
21716,530572,2009-03-14 00:00:00,Klaas Jan Huntelaar,84,90
21727,530583,2009-03-22 00:00:00,Kalu Uche,71,79
21734,530590,2009-04-04 00:00:00,Raul,82,89
21744,530109,2008-09-21 00:00:00,Raul,82,89
21755,530601,2009-04-12 00:00:00,Henok Goitom,74,78
21765,530611,2009-04-18 00:00:00,Raul,82,89
21775,530621,2009-04-21 00:00:00,Roberto Soldado,77,80
21781,530627,2009-04-26 00:00:00,Raul,82,89
21794,530640,2009-05-02 00:00:00,Samuel Eto'o,87,90
21807,530653,2009-05-09 00:00:00,Raul,82,89
21816,530662,2009-05-16 00:00:00,Klaas Jan Huntelaar,84,90
21825,530671,2009-05-24 00:00:00,Aritz Aduriz,75,80
21835,530682,2009-05-31 00:00:00,Gonzalo Higuain,82,87
21841,530116,2008-09-24 00:00:00,David Barral,72,73
