id,match_api_id,match_date,away_player_7_name,away_player_7_rating,away_player_7_potential
21520,530085,2008-08-31 00:00:00,Jose Maria Guti,83,83
21534,530239,2008-11-08 00:00:00,Miguel Angel,69,72
21545,530250,2008-11-15 00:00:00,Fernando Gago,79,87
21555,530260,2008-11-22 00:00:00,Jesus Vazquez,76,75
21566,530331,2008-11-29 00:00:00,Fernando Gago,79,87
21576,530341,2008-12-07 00:00:00,Romaric,80,85
21578,530343,2008-12-13 00:00:00,Jose Maria Guti,83,83
21594,530359,2008-12-20 00:00:00,David Albelda,79,83
21604,530369,2009-01-04 00:00:00,Marcos Senna,84,86
21615,530380,2009-01-11 00:00:00,Fernando Gago,79,87
21626,530451,2009-01-18 00:00:00,Patxi Martinez Punal,74,78
21629,530094,2008-09-14 00:00:00,Jose Javier Barkero,71,74
21639,530454,2009-01-25 00:00:00,Julian de Guzman,77,82
21649,530464,2009-01-31 00:00:00,Lassana Diarra,81,82
21660,530475,2009-02-07 00:00:00,Mehdi Lacen,68,75
21670,530485,2009-02-15 00:00:00,Lassana Diarra,81,82
21684,530499,2009-02-21 00:00:00,Mehmet Aurelio,77,79
21692,530548,2009-02-28 00:00:00,Lassana Diarra,81,85
21702,530558,2009-03-07 00:00:00,Ignacio Camacho,73,83
21716,530572,2009-03-14 00:00:00,Lassana Diarra,81,85
21727,530583,2009-03-22 00:00:00,Juanma Ortiz,77,79
21734,530590,2009-04-04 00:00:00,Wesley Sneijder,86,89
21744,530109,2008-09-21 00:00:00,Mahamadou Diarra,80,87
21755,530601,2009-04-12 00:00:00,Borja Fernandez,73,79
21765,530611,2009-04-18 00:00:00,Fernando Gago,79,87
21775,530621,2009-04-21 00:00:00,Francisco Javier Casquero,75,83
21781,530627,2009-04-26 00:00:00,Lassana Diarra,81,85
21794,530640,2009-05-02 00:00:00,Yaya Toure,81,86
21807,530653,2009-05-09 00:00:00,Fernando Gago,79,87
21816,530662,2009-05-16 00:00:00,Javi Garcia,70,75
21825,530671,2009-05-24 00:00:00,Mario Suarez,72,78
21835,530682,2009-05-31 00:00:00,Rafael van der Vaart,85,90
21841,530116,2008-09-24 00:00:00,Michel,64,72
21852,530127,2008-09-27 00:00:00,Mahamadou Diarra,80,87
21859,530134,2008-10-05 00:00:00,Hurtado Perez Moises,74,78
21870,530205,2008-10-18 00:00:00,Fernando Gago,79,87
21883,530218,2008-10-26 00:00:00,Francisco Navarro Yeste,80,82
21895,530230,2008-11-02 00:00:00,Fernando Gago,79,87
21898,684585,2009-08-29 00:00:00,Juan Rodriguez,72,79
21913,684734,2009-11-07 00:00:00,Xabi Alonso,84,87
21923,684755,2009-11-21 00:00:00,Mehdi Lacen,75,76
21934,684766,2009-11-29 00:00:00,Xabi Alonso,84,87
21944,684776,2009-12-05 00:00:00,Hernan Dario Bernardello,71,77
21955,684787,2009-12-12 00:00:00,Xabi Alonso,84,87
21965,684804,2009-12-19 00:00:00,Ander Herrera,70,83
21976,684828,2010-01-03 00:00:00,Xabi Alonso,84,87
21986,684844,2010-01-10 00:00:00,Marti Soler,74,80
21997,684866,2010-01-16 00:00:00,Xabi Alonso,84,87
22007,684881,2010-01-24 00:00:00,Fernando,73,77
22009,684596,2009-09-12 00:00:00,Xabi Alonso,84,87
22018,684885,2010-01-30 00:00:00,Xabi Alonso,84,87
22029,684907,2010-02-06 00:00:00,Javi Moreno Marquez,58,66
22039,684924,2010-02-13 00:00:00,Xabi Alonso,84,87
22050,684945,2010-02-21 00:00:00,Bruno Soriano,72,77
22060,684976,2010-02-27 00:00:00,Xabi Alonso,84,87
22071,684999,2010-03-06 00:00:00,Didier Zokora,80,82
