id,match_api_id,match_date,away_player_9_name,away_player_9_rating,away_player_9_potential
22522,875952,2011-04-09 00:00:00,Kaka,85,91
22531,875970,2011-04-16 00:00:00,Pedro Rodriguez,83,86
22541,875988,2011-04-23 00:00:00,Sergio Canales,75,88
22550,876003,2011-04-30 00:00:00,Gabi,75,82
22560,875531,2011-05-07 00:00:00,Kaka,85,91
22569,875501,2011-05-10 00:00:00,Daniel Parejo,78,80
22579,875471,2011-05-15 00:00:00,Kaka,85,91
22588,875447,2011-05-21 00:00:00,Corona,74,80
22606,875562,2010-09-21 00:00:00,Joan Verdu,76,80
22615,875576,2010-09-25 00:00:00,Mesut Oezil,83,88
22625,875592,2010-10-03 00:00:00,Saul,71,74
22634,875611,2010-10-16 00:00:00,Mesut Oezil,83,88
22644,875628,2010-10-23 00:00:00,Pedro Munitis,77,86
22653,875646,2010-10-30 00:00:00,Mesut Oezil,83,88
22659,1051459,2012-01-22 00:00:00,Markel Susaeta,75,77
22673,1051744,2011-10-26 00:00:00,Jonathan De Guzman,78,83
22681,1051752,2011-10-29 00:00:00,Mesut Oezil,86,88
22696,1051767,2011-11-06 00:00:00,Javier Calleja,68,68
22703,1051774,2011-11-19 00:00:00,Mesut Oezil,86,88
22713,1051784,2011-11-26 00:00:00,Diego,83,86
22725,1051796,2011-12-03 00:00:00,Mesut Oezil,86,88
22737,1051808,2011-12-10 00:00:00,Lionel Messi,94,96
22742,1051813,2011-12-17 00:00:00,Cristiano Ronaldo,92,94
22750,1052021,2012-01-07 00:00:00,Carlos Martins,78,78
22760,1051821,2012-01-14 00:00:00,Mesut Oezil,86,88
22776,1051622,2011-08-28 00:00:00,Mesut Oezil,84,88
22782,1051833,2012-05-02 00:00:00,Mesut Oezil,86,89
22791,1051842,2012-01-28 00:00:00,Ruben Micael,77,84
22801,1051852,2012-02-04 00:00:00,Mesut Oezil,86,88
22809,1051860,2012-02-12 00:00:00,Nabil El Zhar,70,75
22819,1051870,2012-02-18 00:00:00,Lautaro Acosta,69,73
22834,1051885,2012-02-26 00:00:00,Kaka,85,85
22846,1051897,2012-03-04 00:00:00,Joan Verdu,79,80
22852,1051903,2012-03-10 00:00:00,Kaka,85,85
22863,1051914,2012-03-18 00:00:00,Isco,77,84
22873,1051924,2012-03-21 00:00:00,Mesut Oezil,86,89
22886,1051677,2011-09-10 00:00:00,Juan Rodriguez,74,74
22891,1051932,2012-03-24 00:00:00,Asier Illarramendi,72,76
